"use_type_path";"attribute_name";"value_name";"external_id"
"Farming";"Cultivation system";"Sustrato de fibra de coco";"ter_attr_cultivation_system_farming_31"
"Farming";"Cultivation system";"Sustrato de turba";"ter_attr_cultivation_system_farming_32"
"Farming";"Cultivation system";"Hidropónico";"ter_attr_cultivation_system_farming_33"
"Farming";"Non-productive surfaces and elements (SENP)";"Zonas de no cosechado de cereales, oleaginosas y leguminosas (por 1m2)";"ter_attr_senp_farming_1"
"Farming";"Non-productive surfaces and elements (SENP)";"Islas de biodiversidad (por 1 m2)";"ter_attr_senp_farming_2"
"Farming";"Non-productive surfaces and elements (SENP)";"Márgenes o franjas de biodiversidad (por 1 m)";"ter_attr_senp_farming_3"
"Farming";"Non-productive surfaces and elements (SENP)";"Lindes forestales (por 1 m)";"ter_attr_senp_farming_4"
"Farming";"Non-productive surfaces and elements (SENP)";"Franjas de protección (por 1 m)";"ter_attr_senp_farming_5"
"Farming";"Non-productive surfaces and elements (SENP)";"Setos/franjas arboladas (por 1 m)";"ter_attr_senp_farming_6"
"Farming";"Non-productive surfaces and elements (SENP)";"Árbol aislado";"ter_attr_senp_farming_7"
"Farming";"Non-productive surfaces and elements (SENP)";"Árboles en hilera";"ter_attr_senp_farming_8"
"Farming";"Non-productive surfaces and elements (SENP)";"Grupo de Árboles";"ter_attr_senp_farming_9"
"Farming";"Non-productive surfaces and elements (SENP)";"Lindes de campo (1 m)";"ter_attr_senp_farming_10"
"Farming";"Non-productive surfaces and elements (SENP)";"Charcas (charcas, lagunas, estanques y abrevaderos naturales) (por 1 m2)";"ter_attr_senp_farming_11"
"Farming";"Non-productive surfaces and elements (SENP)";"Islas o Enclaves (Islas o enclaves de vegetación natural o roca) y majanos (por 1 m2)";"ter_attr_senp_farming_12"
"Farming";"Non-productive surfaces and elements (SENP)";"Terrazas (terrazas de retención, bancales, ribazos) (por 1 m)";"ter_attr_senp_farming_13"
"Farming";"Non-productive surfaces and elements (SENP)";"Muros de piedra";"ter_attr_senp_farming_14"
"Farming";"Non-productive surfaces and elements (SENP)";"Pequeñas construcciones de arquitectura tradicional";"ter_attr_senp_farming_15"
"Farming";"Non-productive surfaces and elements (SENP)";"Tierras en barbecho de biodiversidad (incluidos los barbechos melíferos) (por 1 m2)";"ter_attr_senp_farming_16"
"Farming";"Non-productive surfaces and elements (SENP)";"Tierras en barbecho (por 1 m2)";"ter_attr_senp_farming_17"
"Farming";"Non-productive surfaces and elements (SENP)";"Áreas de no siega";"ter_attr_senp_farming_18"
"Farming";"Non-productive surfaces and elements (SENP)";"Zonas de no cosechado de aromáticas (por 1m2)";"ter_attr_senp_farming_19"
"Farming";"Non-productive surfaces and elements (SENP)";"Cultivo fijador de nitrógeno sin aplicación de fitosanitarios (m2)";"ter_attr_senp_farming_20"
"Farming";"Non-productive surfaces and elements (SENP)";"Superficies con vegetación (m2)";"ter_attr_senp_farming_21"
"Farming";"Non-productive surfaces and elements (SENP)";"Zonas yermas (m2)";"ter_attr_senp_farming_22"
"Farming";"Non-productive surfaces and elements (SENP)";"Márgenes florales de más de 0,5 m de ancho de especies autóctonas y/o naturalizadas (m2)";"ter_attr_senp_farming_23"
"Farming";"Non-productive surfaces and elements (SENP)";"Márgenes multifuncionales de más de 2 m de ancho de especies autóctonas y/o naturalizadas (m2)";"ter_attr_senp_farming_24"
"Farming";"Non-productive surfaces and elements (SENP)";"Bandas y zonas florales de especies autóctonas y/o naturalizadas (m2)";"ter_attr_senp_farming_25"
"Farming";"Non-productive surfaces and elements (SENP)";"Siembra o promoción de gramíneas para favorecer la presencia de fitoseidos (m2)";"ter_attr_senp_farming_26"
"Farming";"Non-productive surfaces and elements (SENP)";"Siega parcial del cultivo (forrajeras) (m2)";"ter_attr_senp_farming_27"
"Farming";"Non-productive surfaces and elements (SENP)";"Nidos para abejas solitarias (uds.)";"ter_attr_senp_farming_28"
"Farming";"Non-productive surfaces and elements (SENP)";"Otros tipos de nidos o refugios (uds.)";"ter_attr_senp_farming_29"
"Farming";"Non-productive surfaces and elements (SENP)";"Troncos de árboles muertos con cavidades siempre que no representen un peligro (uds.)";"ter_attr_senp_farming_30"
"Farming";"Non-productive surfaces and elements (SENP)";"Cubierta vegetal florida en calle de la finca. En el año sup. esp. flores más de 20 por ciento (m2)";"ter_attr_senp_farming_31"
"Farming";"Non-productive surfaces and elements (SENP)";"Árbol aislado";"ter_attr_senp_farming_32"
"Farming";"Non-productive surfaces and elements (SENP)";"Árboles en hilera";"ter_attr_senp_farming_33"
"Farming";"Soil cover type";"Suelo desnudo";"ter_attr_soil_cover_type_farming_1"
"Farming";"Soil cover type";"Cubierta vegetal sembrada";"ter_attr_soil_cover_type_farming_2"
"Farming";"Soil cover type";"Cubierta vegetal espontánea.";"ter_attr_soil_cover_type_farming_3"
"Farming";"Soil cover type";"Cubierta inerte de restos de poda";"ter_attr_soil_cover_type_farming_4"
"Farming";"Soil cover type";"Cubierta inerte de otros materiales (cáscaras de frutos secos, piedras, otros restos vegetales, etc.)";"ter_attr_soil_cover_type_farming_5"
"Farming";"Soil cover type";"Regeneración Pastos permanentes";"ter_attr_soil_cover_type_farming_6"
"Farming";"Labor type";"Sin laboreo";"ter_attr_labor_type_farming_0"
"Farming";"Labor type";"Laboreo";"ter_attr_labor_type_farming_1"
"Farming";"Labor type";"Nivelación en cultivos bajo agua";"ter_attr_labor_type_farming_2"
"Farming";"Labor type";"Caballones y tablas en cultivos bajo agua";"ter_attr_labor_type_farming_3"
"Farming";"Labor type";"Escarda (Eliminación de vegetación por medios mecánicos)";"ter_attr_labor_type_farming_4"
"Farming";"Labor type";"Desbroce y siega";"ter_attr_labor_type_farming_5"
"Farming";"Labor type";"Mantenimiento del drenaje";"ter_attr_labor_type_farming_6"
"Farming";"Labor type";"Poda";"ter_attr_labor_type_farming_7"
"Farming";"Labor type";"Aclareo";"ter_attr_labor_type_farming_8"
"Farming";"Labor type";"Entutorado";"ter_attr_labor_type_farming_9"
"Farming";"Labor type";"Injerto";"ter_attr_labor_type_farming_10"
"Farming/Cereals";"kc_a";"0.854167";"ter_attr_familia_cereals_kc_a_val"
"Farming/Cereals";"kc_b";"0.479167";"ter_attr_familia_cereals_kc_b_val"
"Farming/Cereals";"kc_c";"0.12";"ter_attr_familia_cereals_kc_c_val"
"Farming/Forage and Fodder";"kc_a";"0.104167";"ter_attr_familia_forage_kc_a_val"
"Farming/Forage and Fodder";"kc_b";"0.979167";"ter_attr_familia_forage_kc_b_val"
"Farming/Forage and Fodder";"kc_c";"0.15";"ter_attr_familia_forage_kc_c_val"
"Farming/Vegetables";"kc_a";"0.645833";"ter_attr_familia_vegetables_kc_a_val"
