"use_type_path";"attribute_name";"value_name"
"Farming";"Non-productive surfaces and elements (SENP)";"Nidos para abejas solitarias (uds.)"
"Farming";"Non-productive surfaces and elements (SENP)";"Otros tipos de nidos o refugios (uds.)"
"Farming";"Non-productive surfaces and elements (SENP)";"Troncos de árboles muertos con cavidades siempre que no representen un peligro (uds.)"
"Farming";"Non-productive surfaces and elements (SENP)";"Cubierta vegetal florida en calle de la finca. En el año sup. esp. flores más de 20 por ciento (m2)"
"Farming";"Non-productive surfaces and elements (SENP)";"Árbol aislado"
"Farming";"Non-productive surfaces and elements (SENP)";"Árboles en hilera"
"Farming";"Soil cover type";"Suelo desnudo"
"Farming";"Soil cover type";"Cubierta vegetal sembrada"
"Farming";"Soil cover type";"Cubierta vegetal espontánea."
"Farming";"Soil cover type";"Cubierta inerte de restos de poda"
"Farming";"Soil cover type";"Cubierta inerte de otros materiales (cáscaras de frutos secos, piedras, otros restos vegetales, etc.)"
"Farming";"Soil cover type";"Regeneración Pastos permanentes"
"Farming";"Labor type";"Sin laboreo"
"Farming";"Labor type";"Laboreo"
"Farming";"Labor type";"Nivelación en cultivos bajo agua"
"Farming";"Labor type";"Caballones y tablas en cultivos bajo agua"
"Farming";"Labor type";"Escarda (Eliminación de vegetación por medios mecánicos)"
"Farming";"Labor type";"Desbroce y siega"
"Farming";"Labor type";"Mantenimiento del drenaje"
"Farming";"Labor type";"Poda"
"Farming";"Labor type";"Aclareo"
"Farming";"Labor type";"Entutorado"
"Farming";"Labor type";"Injerto"
"Farming/Cereals";"kc_a";"0.854167"
"Farming/Cereals";"kc_b";"0.479167"
"Farming/Cereals";"kc_c";"0.12"
"Farming/Forage and Fodder";"kc_a";"0.104167"
"Farming/Forage and Fodder";"kc_b";"0.979167"
"Farming/Forage and Fodder";"kc_c";"0.15"
"Farming/Vegetables";"kc_a";"0.645833"
"Farming/Vegetables";"kc_b";"0.770833"
"Farming/Vegetables";"kc_c";"0.12"
"Farming/Fruit trees (non-citrus)";"kc_a";"0.708333"
"Farming/Fruit trees (non-citrus)";"kc_b";"0.458333"
"Farming/Fruit trees (non-citrus)";"kc_c";"0.08"
"Farming/Citrus";"kc_a";"0.708333"
"Farming/Citrus";"kc_b";"0.508333"
"Farming/Citrus";"kc_c";"0.09"
"Farming/Grapevine";"kc_a";"0.895833"
"Farming/Grapevine";"kc_b";"0.270833"
"Farming/Grapevine";"kc_c";"0.06"
"Farming/Orchards and Nuts";"kc_a";"0.875"
"Farming/Orchards and Nuts";"kc_b";"0.325"
"Farming/Orchards and Nuts";"kc_c";"0.08"
"Farming/Legumes (grain)";"kc_a";"0.541667"
"Farming/Legumes (grain)";"kc_b";"0.541667"
"Farming/Legumes (grain)";"kc_c";"0.12"
"Farming/Oilseeds and Industrial";"kc_a";"0.333333"
"Farming/Oilseeds and Industrial";"kc_b";"0.833333"
"Farming/Oilseeds and Industrial";"kc_c";"0.12"
"Farming/Tubers and Roots";"kc_a";"0.25"
"Farming/Tubers and Roots";"kc_b";"1.0"
"Farming/Tubers and Roots";"kc_c";"0.14"
"Farming/Sugar crops";"kc_a";"0.104167"
"Farming/Sugar crops";"kc_b";"1.229167"
"Farming/Sugar crops";"kc_c";"0.15"
"Farming/Industrial crops";"kc_a";"0.604167"
"Farming/Industrial crops";"kc_b";"0.679167"
"Farming/Industrial crops";"kc_c";"0.12"
"Farming/Pastures and Grasslands";"kc_a";"-0.125"
"Farming/Pastures and Grasslands";"kc_b";"1.125"
"Farming/Pastures and Grasslands";"kc_c";"0.18"
"Farming/Ornamentals and Flowers";"kc_a";"0.291667"
"Farming/Ornamentals and Flowers";"kc_b";"0.741667"
"Farming/Ornamentals and Flowers";"kc_c";"0.12"
"Farming/Greenhouse";"kc_a";"-1.041667"
"Farming/Greenhouse";"kc_b";"2.208333"
"Farming/Greenhouse";"kc_c";"0.2"
"Farming/Mushrooms";"kc_a";"-1.145833"
"Farming/Mushrooms";"kc_b";"1.479167"
"Farming/Mushrooms";"kc_c";"0.25"
"Farming/Woody others";"kc_a";"0.770833"
"Farming/Woody others";"kc_b";"0.345833"
"Farming/Woody others";"kc_c";"0.08"
"Farming/Unproductive";"kc_a";"0.0"
"Farming/Unproductive";"kc_b";"0.0"
"Farming/Unproductive";"kc_c";"0.5"
"Farming/Other";"kc_a";"0.395833"
"Farming/Other";"kc_b";"0.720833"
"Farming/Other";"kc_c";"0.12"
"Farming/Palm/Date";"kc_a";"0.666667"
"Farming/Palm/Date";"kc_b";"0.466667"
"Farming/Palm/Date";"kc_c";"0.1"
"Farming/Berries";"kc_a";"0.395833"
"Farming/Berries";"kc_b";"0.720833"
"Farming/Berries";"kc_c";"0.12"
"Farming/Cereals/TRIGO BLANDO";"Latin";"Triticum aestivum"
"Farming/Cereals/TRIGO BLANDO";"EPPO";"TRZAX"
"Farming/Cereals/TRIGO BLANDO";"C. UPOV";"TRITI_AES"
"Farming/Cereals/TRIGO BLANDO";"Horticultural";"NO"
"Farming/Cereals/TRIGO BLANDO";"Energetic";"SI"
"Farming/Cereals/TRIGO BLANDO";"Fruit tree";"NO"
"Farming/Cereals/TRIGO BLANDO";"Shell fruits";"NO"
"Farming/Cereals/TRIGO BLANDO";"Aromatic condiment medicinal";"NO"
"Farming/Cereals/TRIGO BLANDO";"Direct sowing";"SI"
"Farming/Cereals/TRIGO BLANDO";"Improving species";"NO"
"Farming/Cereals/TRIGO BLANDO";"Short-cycle forestry";"NO"
"Farming/Cereals/TRIGO BLANDO";"Woody";"NO"
"Farming/Cereals/TRIGO BLANDO";"Cropland";"SI"
"Farming/Cereals/TRIGO BLANDO";"Permanent crops";"NO"
"Farming/Cereals/TRIGO BLANDO";"Permanent pasture";"NO"
"Farming/Cereals/TRIGO BLANDO";"Forest";"NO"
"Farming/Cereals/TRIGO BLANDO";"Legumes";"NO"
"Farming/Cereals/TRIGO BLANDO";"Unharvested zone cereals legumes oilseeds";"SI"
"Farming/Cereals/TRIGO BLANDO";"Integrated";"SI"
"Farming/Cereals/ESPELTA";"Latin";"Triticum spelta"
"Farming/Cereals/ESPELTA";"EPPO";"TRZSP"
"Farming/Cereals/ESPELTA";"C. UPOV";"TRITI_AES_SPE"
"Farming/Cereals/ESPELTA";"Horticultural";"NO"
"Farming/Cereals/ESPELTA";"Energetic";"NO"
"Farming/Cereals/ESPELTA";"Fruit tree";"NO"
