"use_type_path";"attribute_name"
"Farming/Cereals/MAÍZ";"Shell fruits"
"Farming/Cereals/MAÍZ";"Aromatic condiment medicinal"
"Farming/Cereals/MAÍZ";"Direct sowing"
"Farming/Cereals/MAÍZ";"Improving species"
"Farming/Cereals/MAÍZ";"Short-cycle forestry"
"Farming/Cereals/MAÍZ";"Woody"
"Farming/Cereals/MAÍZ";"Cropland"
"Farming/Cereals/MAÍZ";"Permanent crops"
"Farming/Cereals/MAÍZ";"Permanent pasture"
"Farming/Cereals/MAÍZ";"Forest"
"Farming/Cereals/MAÍZ";"Legumes"
"Farming/Cereals/MAÍZ";"Unharvested zone cereals legumes oilseeds"
"Farming/Cereals/MAÍZ";"Integrated"
"Farming/Cereals/CEBADA";"Latin"
"Farming/Cereals/CEBADA";"EPPO"
"Farming/Cereals/CEBADA";"C. UPOV"
"Farming/Cereals/CEBADA";"Horticultural"
"Farming/Cereals/CEBADA";"Energetic"
"Farming/Cereals/CEBADA";"Fruit tree"
"Farming/Cereals/CEBADA";"Shell fruits"
"Farming/Cereals/CEBADA";"Aromatic condiment medicinal"
"Farming/Cereals/CEBADA";"Direct sowing"
"Farming/Cereals/CEBADA";"Improving species"
"Farming/Cereals/CEBADA";"Short-cycle forestry"
"Farming/Cereals/CEBADA";"Woody"
"Farming/Cereals/CEBADA";"Cropland"
"Farming/Cereals/CEBADA";"Permanent crops"
"Farming/Cereals/CEBADA";"Permanent pasture"
"Farming/Cereals/CEBADA";"Forest"
"Farming/Cereals/CEBADA";"Legumes"
"Farming/Cereals/CEBADA";"Unharvested zone cereals legumes oilseeds"
"Farming/Cereals/CEBADA";"Integrated"
"Farming/Cereals/CENTENO";"Latin"
"Farming/Cereals/CENTENO";"EPPO"
"Farming/Cereals/CENTENO";"C. UPOV"
"Farming/Cereals/CENTENO";"Horticultural"
"Farming/Cereals/CENTENO";"Energetic"
"Farming/Cereals/CENTENO";"Fruit tree"
"Farming/Cereals/CENTENO";"Shell fruits"
"Farming/Cereals/CENTENO";"Aromatic condiment medicinal"
"Farming/Cereals/CENTENO";"Direct sowing"
"Farming/Cereals/CENTENO";"Improving species"
"Farming/Cereals/CENTENO";"Short-cycle forestry"
"Farming/Cereals/CENTENO";"Woody"
"Farming/Cereals/CENTENO";"Cropland"
"Farming/Cereals/CENTENO";"Permanent crops"
"Farming/Cereals/CENTENO";"Permanent pasture"
"Farming/Cereals/CENTENO";"Forest"
"Farming/Cereals/CENTENO";"Legumes"
"Farming/Cereals/CENTENO";"Unharvested zone cereals legumes oilseeds"
"Farming/Cereals/CENTENO";"Integrated"
"Farming/Cereals/SORGO";"Latin"
"Farming/Cereals/SORGO";"EPPO"
"Farming/Cereals/SORGO";"C. UPOV"
"Farming/Cereals/SORGO";"Horticultural"
"Farming/Cereals/SORGO";"Energetic"
"Farming/Cereals/SORGO";"Fruit tree"
"Farming/Cereals/SORGO";"Shell fruits"
"Farming/Cereals/SORGO";"Aromatic condiment medicinal"
"Farming/Cereals/SORGO";"Direct sowing"
"Farming/Cereals/SORGO";"Improving species"
"Farming/Cereals/SORGO";"Short-cycle forestry"
"Farming/Cereals/SORGO";"Woody"
"Farming/Cereals/SORGO";"Cropland"
"Farming/Cereals/SORGO";"Permanent crops"
"Farming/Cereals/SORGO";"Permanent pasture"
"Farming/Cereals/SORGO";"Forest"
"Farming/Cereals/SORGO";"Legumes"
"Farming/Cereals/SORGO";"Unharvested zone cereals legumes oilseeds"
"Farming/Cereals/SORGO";"Integrated"
"Farming/Cereals/AVENA";"Latin"
"Farming/Cereals/AVENA";"EPPO"
"Farming/Cereals/AVENA";"C. UPOV"
"Farming/Cereals/AVENA";"Horticultural"
"Farming/Cereals/AVENA";"Energetic"
"Farming/Cereals/AVENA";"Fruit tree"
"Farming/Cereals/AVENA";"Shell fruits"
"Farming/Cereals/AVENA";"Aromatic condiment medicinal"
"Farming/Cereals/AVENA";"Direct sowing"
"Farming/Cereals/AVENA";"Improving species"
"Farming/Cereals/AVENA";"Short-cycle forestry"
"Farming/Cereals/AVENA";"Woody"
"Farming/Cereals/AVENA";"Cropland"
"Farming/Cereals/AVENA";"Permanent crops"
"Farming/Cereals/AVENA";"Permanent pasture"
"Farming/Cereals/AVENA";"Forest"
"Farming/Cereals/AVENA";"Legumes"
"Farming/Cereals/AVENA";"Unharvested zone cereals legumes oilseeds"
"Farming/Cereals/AVENA";"Integrated"
"Farming/Other/ALFORFÓN";"Latin"
"Farming/Other/ALFORFÓN";"EPPO"
"Farming/Other/ALFORFÓN";"C. UPOV"
"Farming/Other/ALFORFÓN";"Horticultural"
"Farming/Other/ALFORFÓN";"Energetic"
"Farming/Other/ALFORFÓN";"Fruit tree"
"Farming/Other/ALFORFÓN";"Shell fruits"
"Farming/Other/ALFORFÓN";"Aromatic condiment medicinal"
"Farming/Other/ALFORFÓN";"Direct sowing"
"Farming/Other/ALFORFÓN";"Improving species"
"Farming/Other/ALFORFÓN";"Short-cycle forestry"
"Farming/Other/ALFORFÓN";"Woody"
"Farming/Other/ALFORFÓN";"Cropland"
"Farming/Other/ALFORFÓN";"Permanent crops"
"Farming/Other/ALFORFÓN";"Permanent pasture"
"Farming/Other/ALFORFÓN";"Forest"
"Farming/Other/ALFORFÓN";"Legumes"
"Farming/Other/ALFORFÓN";"Unharvested zone cereals legumes oilseeds"
"Farming/Other/ALFORFÓN";"Integrated"
"Farming/Cereals/MIJO";"Latin"
"Farming/Cereals/MIJO";"EPPO"
"Farming/Cereals/MIJO";"C. UPOV"
"Farming/Cereals/MIJO";"Horticultural"
"Farming/Cereals/MIJO";"Energetic"
"Farming/Cereals/MIJO";"Fruit tree"
"Farming/Cereals/MIJO";"Shell fruits"
"Farming/Cereals/MIJO";"Aromatic condiment medicinal"
"Farming/Cereals/MIJO";"Direct sowing"
"Farming/Cereals/MIJO";"Improving species"
"Farming/Cereals/MIJO";"Short-cycle forestry"
"Farming/Cereals/MIJO";"Woody"
"Farming/Cereals/MIJO";"Cropland"
"Farming/Cereals/MIJO";"Permanent crops"
"Farming/Cereals/MIJO";"Permanent pasture"
"Farming/Cereals/MIJO";"Forest"
"Farming/Cereals/MIJO";"Legumes"
"Farming/Cereals/MIJO";"Unharvested zone cereals legumes oilseeds"
"Farming/Cereals/MIJO";"Integrated"
"Farming/Cereals/ALPISTE";"Latin"
"Farming/Cereals/ALPISTE";"EPPO"
"Farming/Cereals/ALPISTE";"C. UPOV"
"Farming/Cereals/ALPISTE";"Horticultural"
"Farming/Cereals/ALPISTE";"Energetic"
"Farming/Cereals/ALPISTE";"Fruit tree"
"Farming/Cereals/ALPISTE";"Shell fruits"
"Farming/Cereals/ALPISTE";"Aromatic condiment medicinal"
"Farming/Cereals/ALPISTE";"Direct sowing"
"Farming/Cereals/ALPISTE";"Improving species"
"Farming/Cereals/ALPISTE";"Short-cycle forestry"
"Farming/Cereals/ALPISTE";"Woody"
"Farming/Cereals/ALPISTE";"Cropland"
"Farming/Cereals/ALPISTE";"Permanent crops"
"Farming/Cereals/ALPISTE";"Permanent pasture"
"Farming/Cereals/ALPISTE";"Forest"
"Farming/Cereals/ALPISTE";"Legumes"
"Farming/Cereals/ALPISTE";"Unharvested zone cereals legumes oilseeds"
"Farming/Cereals/ALPISTE";"Integrated"
"Farming/Other/TRANQUILLÓN";"Latin"
"Farming/Other/TRANQUILLÓN";"EPPO"
"Farming/Other/TRANQUILLÓN";"C. UPOV"
"Farming/Other/TRANQUILLÓN";"Horticultural"
"Farming/Other/TRANQUILLÓN";"Energetic"
"Farming/Other/TRANQUILLÓN";"Fruit tree"
"Farming/Other/TRANQUILLÓN";"Shell fruits"
"Farming/Other/TRANQUILLÓN";"Aromatic condiment medicinal"
"Farming/Other/TRANQUILLÓN";"Direct sowing"
"Farming/Other/TRANQUILLÓN";"Improving species"
"Farming/Other/TRANQUILLÓN";"Short-cycle forestry"
"Farming/Other/TRANQUILLÓN";"Woody"
"Farming/Other/TRANQUILLÓN";"Cropland"
"Farming/Other/TRANQUILLÓN";"Permanent crops"
"Farming/Other/TRANQUILLÓN";"Permanent pasture"
"Farming/Other/TRANQUILLÓN";"Forest"
"Farming/Other/TRANQUILLÓN";"Legumes"
"Farming/Other/TRANQUILLÓN";"Unharvested zone cereals legumes oilseeds"
"Farming/Other/TRANQUILLÓN";"Integrated"
"Farming/Cereals/TRITICALE";"Latin"
"Farming/Cereals/TRITICALE";"EPPO"
"Farming/Cereals/TRITICALE";"C. UPOV"
